id,type,src,dst,app,latency,message,ctime,size,buffer
154,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,2200,20,5
155,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,2300,20009999,0
156,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,2300,20009999,1
157,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,2300,20,2
159,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,2300,20,3
160,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,2300,20,4
161,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,2300,20,5
162,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,2400,20009999,0
163,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,2400,20009999,1
164,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,2400,20,2
166,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,2400,20,3
167,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,2400,20,4
168,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,2400,20,5
169,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,2500,20009999,0
170,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,2500,20009999,1
171,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,2500,20,2
173,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,2500,20,3
174,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,2500,20,4
175,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,2500,20,5
176,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,2600,20009999,0
177,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,2600,20009999,1
178,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,2600,20,2
180,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,2600,20,3
181,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,2600,20,4
182,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,2600,20,5
183,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,2700,20009999,0
184,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,2700,20009999,1
185,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,2700,20,2
187,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,2700,20,3
188,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,2700,20,4
189,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,2700,20,5
190,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,2800,20009999,0
191,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,2800,20009999,1
192,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,2800,20,2
194,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,2800,20,3
195,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,2800,20,4
196,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,2800,20,5
197,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,2900,20009999,0
198,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,2900,20009999,1
199,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,2900,20,2
201,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,2900,20,3
202,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,2900,20,4
203,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,2900,20,5
204,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,3000,20009999,0
205,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,3000,20009999,1
206,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,3000,20,2
208,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,3000,20,3
209,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,3000,20,4
210,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,3000,20,5
211,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,3100,20009999,0
